protocol,function,algorithm,run,best,n_fes,max_iter,seconds
equal_iterations,F28,LSHADE,7,3051.1523210001023,8569,500,6.981540799999493
equal_iterations,F28,LSHADE,8,3158.847018038946,8569,500,9.94502420000208
equal_iterations,F28,LSHADE,9,2937.814635203397,8569,500,10.347462200006703
equal_iterations,F28,PSO,0,4052.2181092262117,15030,500,14.320839899999555
equal_iterations,F28,PSO,1,4504.4767959530745,15030,500,15.021989300003042
equal_iterations,F28,PSO,2,3932.03811672443,15030,500,14.224306099989917
equal_iterations,F28,PSO,3,3936.145561211133,15030,500,14.245247800005018
equal_iterations,F28,PSO,4,4299.646390391144,15030,500,10.238685199990869
equal_iterations,F28,PSO,5,4364.878674719854,15030,500,10.257414599996991
equal_iterations,F28,PSO,6,4884.347507654469,15030,500,10.167452399997273
equal_iterations,F28,PSO,7,5055.71067984315,15030,500,10.267971900000703
equal_iterations,F28,PSO,8,4219.516201796955,15030,500,14.657509500000742
equal_iterations,F28,PSO,9,4762.317642985801,15030,500,10.253636199995526
equal_iterations,F28,GWO,0,3244.958730569314,15030,500,10.927945599993109
equal_iterations,F28,GWO,1,3266.568863972803,15030,500,10.945282399989082
equal_iterations,F28,GWO,2,3242.7758420831824,15030,500,10.843605200003367
equal_iterations,F28,GWO,3,3257.439895700869,15030,500,10.858696900002542
equal_iterations,F28,GWO,4,3156.8461997114323,15030,500,10.832569499994861
equal_iterations,F28,GWO,5,3184.1409154248818,15030,500,14.971246599990991
equal_iterations,F28,GWO,6,3251.6869607571757,15030,500,14.997446299996227
equal_iterations,F28,GWO,7,3179.435763377428,15030,500,15.019057299999986
equal_iterations,F28,GWO,8,3230.7863626843664,15030,500,15.09008840000024
equal_iterations,F28,GWO,9,3182.6803855623352,15030,500,15.429487799992785
equal_iterations,F28,HHO,0,3185.25273356395,28090,500,27.87597329998971
equal_iterations,F28,HHO,1,3109.159623314272,27878,500,27.554041700001108
equal_iterations,F28,HHO,2,3190.2637003278205,27906,500,19.274027999999817
equal_iterations,F28,HHO,3,3178.9733031521464,27474,500,18.99385730001086
equal_iterations,F28,HHO,4,2857.313896238581,27982,500,19.367946300000767
equal_iterations,F28,HHO,5,3086.6917026213023,27058,500,18.819842199998675
equal_iterations,F28,HHO,6,2871.6065995089675,27940,500,19.480095400009304
equal_iterations,F28,HHO,7,3188.6689793375,27434,500,20.793314599999576
equal_iterations,F28,HHO,8,3150.500145285344,27424,500,26.688578699991922
equal_iterations,F28,HHO,9,3149.0675679974875,27726,500,27.070189199992456
equal_iterations,F28,BFO,0,2730.171469323243,27432,500,27.162618400005158
equal_iterations,F28,BFO,1,3146.607011575848,28283,500,19.71721709999838
